	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
1.4843	93.5811	122.333	
1.4862	148.82	95.9609	
1.48811	172.162	79.0808	
1.49001	195.503	62.2007	
1.49191	167.233	-1.2749	
1.49382	138.965	18.086	
1.49572	82.0225	59.8817	
1.49763	162.709	101.677	
1.49953	165.979	153.828	
1.50143	169.25	205.978	
1.50334	174.133	165.8	
1.50524	179.017	208.459	
1.50714	115.086	199.345	
1.50905	51.1543	273.067	
1.51095	142.056	249.284	
1.51286	232.957	225.501	
1.51476	255.044	165.477	
1.51666	277.131	243.513	
1.51857	233.987	282.289	
1.52047	190.844	238.228	
1.52238	147.7	130.314	
1.52428	104.558	22.4004	
1.52618	82.918	-3.53992	
1.52809	61.2793	53.3562	
1.52999	31.0391	63.6568	
1.5319	138.427	73.9575	
1.5338	89.7734	21.8611	
1.5357	41.1191	-30.2353	
1.53761	111.457	-23.6558	
1.53951	181.794	148.596	
1.54141	190.485	87.8714	
1.54332	130.362	27.1462	
1.54522	104.646	128.642	
1.54713	216.56	230.139	
1.54903	177.583	211.695	
1.55093	207.42	193.251	
1.55284	275.966	81.6155	
1.55474	344.511	135.653	
1.55665	365.747	162.942	
1.55855	386.982	190.23	
1.56045	353.74	76.0068	
1.56236	320.498	-38.2169	
1.56426	217.187	-11.4677	
1.56617	343.257	15.2816	
1.56807	331.698	83.4491	
1.56997	457.768	151.617	
1.57188	558.749	243.945	
1.57378	659.73	336.273	
1.57568	743.508	470.019	
1.57759	827.286	603.765	
1.57949	923.608	581.762	
1.5814	1157.56	559.759	
1.5833	1355.67	568.819	
1.5852	1691.41	743.552	
1.58711	1898.83	805.248	
1.58901	2175.08	866.944	
1.59092	2512.97	949.349	
1.59282	2988.48	1031.75	
1.59472	3092.47	1023.64	
1.59663	3334.08	1181.19	
1.59853	3512.61	1407.78	
1.60044	3828.77	1634.37	
1.60234	4162.13	1860.09	
1.60424	4724.88	2251.49	
1.60615	5336.37	2774.04	
1.60805	5947.85	3462.27	
1.60996	6349.67	4182.85	
1.61186	6889.12	4903.44	
1.61376	7437.17	5775.89	
1.61567	8489.86	6648.34	
1.61757	9697.38	7422.43	
1.61947	11317.8	8472.63	
1.62138	12972.6	9553.9	
1.62328	15040.3	10800.8	
1.62519	17242.2	11937.2	
1.62709	19948.8	13349.7	
1.62899	22798.7	14976.2	
1.6309	27162.5	17431.1	
1.6328	32874	20393.3	
1.63471	42117.9	24404.8	
1.63661	56448.3	29748.6	
1.63851	81651.4	37798.4	
1.64042	119149	49688	
1.64232	158069	69695.6	
1.64423	174630	101728	
1.64613	165822	137903	
1.64803	140045	159113	
1.64994	105965	157626	
1.65184	80991	141429	
1.65374	62302.1	111371	
1.65565	49494.6	85749.4	
1.65755	39485.7	66589.3	
1.65946	31913.8	52019.7	
1.66136	25764.2	41481.5	
1.66326	21340.6	33604.4	
1.66517	17513.5	27439.3	
1.66707	14661.2	22758.3	
1.66898	12221.8	18905.7	
1.67088	10590.6	15706.7	
1.67278	9097	12894.2	
1.67469	8079.39	10565	
