	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_1	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_2	
5.51485	5.73242	5.83929	
5.51675	-91.1973	-1.59869	
5.51866	-50.7793	-9.03668	
5.52056	-18.9473	-67.2764	
5.52247	12.8867	-35.2019	
5.52437	-52.2109	16.6288	
5.52627	-117.309	68.4595	
5.52818	-36.4727	120.29	
5.53008	-92.9863	172.121	
5.53198	-55.0723	188.202	
5.53389	-17.1582	113.969	
5.53579	12.1719	90.5383	
5.5377	41.5	67.1071	
5.5396	32.7383	25.8013	
5.5415	23.9746	-15.5045	
5.54341	6.62695	-56.8103	
5.54531	-10.7207	-98.1161	
5.54722	44.8984	-67.9232	
5.54912	-36.8301	-37.7303	
5.55102	-32.7168	-13.182	
5.55293	-28.6035	11.3663	
5.55483	-55.6973	32.7248	
5.55674	54.5566	-36.2309	
5.55864	27.4609	-54.3849	
5.56054	0.367187	-72.5389	
5.56245	-46.041	-35.1872	
5.56435	44.8984	2.1644	
5.56625	24.2422	-11.2857	
5.56816	3.58594	65.5784	
5.57006	14.9434	153.732	
5.57197	26.2988	241.885	
5.57387	37.6563	251.014	
5.57577	49.0117	169.828	
5.57768	18.1621	210.943	
5.57958	-12.6875	252.057	
5.58149	-43.5371	187.805	
5.58339	-74.3867	123.554	
5.58529	-50.1543	57.8905	
5.5872	-25.9219	82.5417	
5.5891	-1.68945	56.3911	
5.59101	22.543	30.2406	
5.59291	33.9004	41.7209	
5.59481	45.2559	53.2013	
5.59672	-12.0605	64.6817	
5.59862	-69.3789	76.1621	
5.60052	-63.9238	63.1823	
5.60243	-58.4707	50.2026	
5.60433	-53.0156	106.84	
5.60624	-47.5605	163.478	
5.60814	-1.33203	234.227	
5.61004	44.8984	214.661	
5.61195	-23.3281	144.295	
5.61385	-91.5547	164.242	
5.61576	-45.9961	248.088	
5.61766	-0.4375	241.621	
5.61956	10.7852	135.431	
5.62147	22.0078	119.555	
5.62337	60.4121	57.5818	
